序号,日期,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
1,20240528,688090,瑞松科技,27.72,28.3,22.17,10,25.32,26.02,自动化设备
2,20240528,002325,*ST洪涛,1.19,1.22,0.85,8,40.0,60.25,建筑装饰
3,20240528,300822,贝仕达克,14.3,14.88,10.73,8,32.9,26.45,消费电子
4,20240528,300859,*ST西域,34.1,34.16,31.13,8,10.48,26.02,景点及旅游
5,20240528,600719,大连热电,10.71,10.71,7.74,8,37.66,60.2,电力
6,20240528,603991,至正股份,36.06,38.17,25.48,7,38.21,31.18,化工合成材料
7,20240528,300286,安科瑞,26.2,27.04,22.08,6,17.59,25.18,电力设备
8,20240528,300298,三诺生物,26.97,27.19,23.39,6,14.77,8.03,医疗器械
9,20240528,002897,意华股份,47.27,51.78,37.36,5,25.09,58.31,通信设备
10,20240528,301323,新莱福,38.51,39.33,32.45,5,16.45,90.16,化工合成材料
11,20240528,600886,国投电力,17.18,17.43,15.78,5,8.32,2.25,电力
12,20240528,000638,万方发展,5.42,5.42,3.99,4,34.83,47.52,农产品加工
13,20240528,300648,星云股份,20.35,20.74,18.68,4,8.77,16.9,电力设备
14,20240528,300816,艾可蓝,24.76,25.15,23.38,4,2.48,7.14,汽车零部件
15,20240528,300943,春晖智控,12.58,12.69,10.81,4,15.31,23.34,通用设备
16,20240528,301137,哈焊华通,15.89,15.93,14.83,4,6.0,21.35,通用设备
17,20240528,301237,和顺科技,24.68,25.2,21.81,4,12.08,19.86,化工合成材料
18,20240528,600435,北方导航,9.36,9.5,8.7,4,6.97,12.92,国防军工
19,20240528,603559,*ST通脉,4.91,4.99,4.42,4,9.84,1.81,通信服务
20,20240528,688330,宏力达,23.0,23.14,22.38,4,2.4,3.17,电力设备
21,20240528,688360,德马科技,19.14,19.55,17.32,4,9.25,10.88,通用设备
22,20240528,688720,艾森股份,37.45,39.88,31.82,4,16.38,48.26,半导体及元件
23,20240528,000028,国药一致,38.65,39.28,37.1,3,3.45,2.82,医药商业
24,20240528,000333,美的集团,67.59,68.28,65.0,3,3.33,1.18,白色家电
25,20240528,000999,华润三九,62.72,63.59,59.5,3,4.71,1.75,中药
26,20240528,002028,思源电气,72.15,74.5,67.88,3,5.16,4.53,电力设备
27,20240528,002223,鱼跃医疗,39.65,40.07,38.75,3,1.93,2.09,医疗器械
28,20240528,002726,龙大美食,6.76,6.83,6.59,3,0.75,3.2,食品加工制造
29,20240528,002737,葵花药业,30.03,30.05,28.55,3,4.52,3.62,中药
30,20240528,002922,伊戈尔,21.93,22.49,19.8,3,8.83,20.44,其他电子
31,20240528,003020,立方制药,26.78,26.88,23.91,3,11.03,9.28,化学制药
32,20240528,300641,正丹股份,32.82,33.05,25.8,3,21.96,39.03,化学制品
33,20240528,300705,九典制药,25.56,36.1,25.01,3,1.46,4.35,化学制药
34,20240528,301004,嘉益股份,86.85,87.55,83.03,3,3.52,8.93,家用轻工
35,20240528,301127,天源环保,10.56,10.69,10.04,3,3.73,7.15,环保
36,20240528,600025,华能水电,9.76,9.84,9.42,3,3.28,0.62,电力
37,20240528,600066,宇通客车,25.17,25.2,24.02,3,3.28,4.07,汽车整车
38,20240528,600161,天坛生物,28.81,29.13,28.15,3,1.8,1.4,生物制品
39,20240528,600236,桂冠电力,7.15,7.2,6.63,3,7.2,0.77,电力
40,20240528,600285,羚锐制药,25.37,25.42,24.16,3,4.32,3.76,中药
41,20240528,600522,中天科技,15.34,15.35,14.28,3,5.79,6.08,通信设备
42,20240528,600674,川投能源,17.57,17.79,16.91,3,3.11,1.27,电力
43,20240528,600690,海尔智家,30.75,31.09,29.58,3,3.02,1.39,白色家电
44,20240528,600894,广日股份,13.64,13.71,12.32,3,11.89,6.1,专用设备
45,20240528,600900,长江电力,26.51,26.7,25.96,3,2.04,0.97,电力
46,20240528,601872,招商轮船,9.3,9.55,8.96,3,2.54,1.33,港口航运
47,20240528,601919,中远海控,15.04,15.2,13.97,3,7.43,3.59,港口航运
48,20240528,603058,永吉股份,8.88,9.02,7.91,3,10.04,14.88,包装印刷
49,20240528,603097,江苏华辰,29.85,30.58,26.6,3,8.47,67.16,电力设备
50,20240528,603125,常青科技,22.57,23.23,20.3,3,7.53,50.8,化学制品
51,20240528,603713,密尔克卫,66.95,68.23,63.08,3,5.25,4.77,物流
52,20240528,603998,方盛制药,12.0,12.08,11.47,3,1.69,3.8,中药
53,20240528,688218,江苏北人,20.64,20.74,19.1,3,6.89,10.67,自动化设备
54,20240528,688676,金盘科技,62.0,63.33,55.68,3,10.83,4.62,电力设备
