,name,symbol
0,拼多多,usPDD
1,百济神州,usBGNE
2,贝壳,usBEKE
3,传奇生物,usLEGN
4,微软,usMSFT
5,美国超微公司,usAMD
6,亚马逊,usAMZN
7,Kiniksa Pharmaceuticals,usKNSA
8,赛富时,usCRM
9,Take-Two互动软件,usTTWO
10,丹纳赫,usDHR
11,硕迪生物,usGPCR
12,DoorDash,usDASH
13,ArriVent BioPharma,usAVBP
14,穆迪,usMCO
15,逸仙电商,usYSG
16,Enfusion,usENFN
17,Cytek Biosciences,usCTKB
18,BridgeBio Pharma,usBBIO
19,华住,usHTHT
20,Hesai,usHSAI
21,Coupang,usCPNG
22,怪兽充电,usEM
23,百度,usBIDU
24,网易,usNTES
25,昂跑,usONON
26,亿滋,usMDLZ
27,中通快递,usZTO
28,I-Mab,usIMAB
29,声网,usAPI
30,英伟达,usNVDA
31,阿里巴巴,usBABA
32,Sea,usSE
33,谷歌-A,usGOOGL
34,Applovin,usAPP
35,美光科技,usMU
36,"Metagenomi Technologies, LLC",usMGX
37,搜狐,usSOHU
38,Gossamer Bio,usGOSS
39,迈威尔科技,usMRVL
40,Sagimet Biosciences,usSGMT
41,唯品会,usVIPS
42,Pacific Biosciences of California,usPACB
43,Vertiv Holdings,usVRT
44,Meta Platforms,usMETA
45,涂鸦智能,usTUYA
46,博通,usAVGO
47,GE航天航空,usGE
48,苹果,usAAPL
49,博实乐教育,usBEDU
50,Pyxis Oncology,usPYXS
51,Aligos Therapeutics,usALGS
52,京东,usJD
53,BOSS直聘,usBZ
54,蘑菇街,usMOGU
55,Arista Networks,usANET
56,亚朵,usATAT
57,爱奇艺,usIQ
58,LakeShore Biopharma,usLSB
59,高通,usQCOM
60,满帮,usYMM
61,九洲大药房,usCJJD
62,Constellation Energy,usCEG
63,优信,usUXIN
